order_index,id,row,column,source_relative_to_bundle,source_bytes,source_png_sha256,future_unity_destination,world_chunk_x,world_chunk_y_down,north_top,east_right,south_bottom,west_left,outer_clamp_top,outer_clamp_right,outer_clamp_bottom,outer_clamp_left
0,R0C0,0,0,runtime/tiles/R0C0_g2.png,460738,faeba366e9b0277ba5162faba928394ae094cfe0ce4cd02e2b9b25080fe21482,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R0C0_g2.png,30,30,,R0C1,R1C0,,2,0,0,2
1,R0C1,0,1,runtime/tiles/R0C1_g2.png,479033,608584362278229f922dd181b467cf5ce1319df06275764bd4c48323352caebf,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R0C1_g2.png,31,30,,R0C2,R1C1,R0C0,2,0,0,0
2,R0C2,0,2,runtime/tiles/R0C2_g2.png,473877,ff0cdb067e928af2ce1508024fce091ae64c3e3ffce2dd42dcaaea9e60097288,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R0C2_g2.png,32,30,,R0C3,R1C2,R0C1,2,0,0,0
3,R0C3,0,3,runtime/tiles/R0C3_g2.png,501822,c08653419309ead73787e2b8c274f8750f80e7653add243c36cd183f5b642d0d,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R0C3_g2.png,33,30,,R0C4,R1C3,R0C2,2,0,0,0
4,R0C4,0,4,runtime/tiles/R0C4_g2.png,474403,c74f6d6817a2d5dfcc7019cbf20ff4a43c33371be3663275fbd5352f2a3c9722,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R0C4_g2.png,34,30,,,R1C4,R0C3,2,2,0,0
5,R1C0,1,0,runtime/tiles/R1C0_g2.png,449249,b8c694ad466cdf5a2f98d6909d045847d4316bd56be0ad751b271c843e69cf9d,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R1C0_g2.png,30,31,R0C0,R1C1,R2C0,,0,0,0,2
6,R1C1,1,1,runtime/tiles/R1C1_g2.png,458498,4b16a9c36c4bc927f4f3cbd7221fa8581257ddbf4468776628c53a1e3f59d6da,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R1C1_g2.png,31,31,R0C1,R1C2,R2C1,R1C0,0,0,0,0
7,R1C2,1,2,runtime/tiles/R1C2_g2.png,491027,74d40c7cb8463cf0ef9d759605c3d499b435b0b4751a3434a2526b04aa450124,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R1C2_g2.png,32,31,R0C2,R1C3,R2C2,R1C1,0,0,0,0
8,R1C3,1,3,runtime/tiles/R1C3_g2.png,492093,cae08d7093ce6c04753065878e82ccd6d35251471f212ce8a0b6b0b4ea3cf21e,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R1C3_g2.png,33,31,R0C3,R1C4,R2C3,R1C2,0,0,0,0
9,R1C4,1,4,runtime/tiles/R1C4_g2.png,482457,f3fb5144b5a7f31e002fc320794b36de2f2feb52ab7cda688709c53385ffa452,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R1C4_g2.png,34,31,R0C4,,R2C4,R1C3,0,2,0,0
10,R2C0,2,0,runtime/tiles/R2C0_g2.png,464169,2406723a1c2f203a662acb068f9e9f773623f5b7e6206da7d479671dd41cf791,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R2C0_g2.png,30,32,R1C0,R2C1,R3C0,,0,0,0,2
11,R2C1,2,1,runtime/tiles/R2C1_g2.png,473756,54bab1bb8fd8aa55ce950e0e31b505c35474a0ebf52bf2b1023cf783a1cf7486,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R2C1_g2.png,31,32,R1C1,R2C2,R3C1,R2C0,0,0,0,0
12,R2C2,2,2,runtime/tiles/R2C2_g2.png,494045,4ed1009967bb8ca5a473a7bd4ad99360ac3712c4fa1e2addfd10cda6eb99bfd6,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R2C2_g2.png,32,32,R1C2,R2C3,R3C2,R2C1,0,0,0,0
13,R2C3,2,3,runtime/tiles/R2C3_g2.png,507406,b88f0c3329cce4a38d44abe36efef5efd598dfdf8f0104b26937648c450cc77c,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R2C3_g2.png,33,32,R1C3,R2C4,R3C3,R2C2,0,0,0,0
14,R2C4,2,4,runtime/tiles/R2C4_g2.png,520171,42efee714a44b50790795359e8dc4c794d3e87760e4dcc21ce7fe269c240a036,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R2C4_g2.png,34,32,R1C4,,R3C4,R2C3,0,2,0,0
15,R3C0,3,0,runtime/tiles/R3C0_g2.png,463261,9255f3b1004a63e0367480ccb6bbce69127e0c792b68b1b9f645fe6b4c54e93e,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R3C0_g2.png,30,33,R2C0,R3C1,R4C0,,0,0,0,2
16,R3C1,3,1,runtime/tiles/R3C1_g2.png,478360,d9361fcbace0ba4cb5949abfebdb64c48fa2400ebc444cd48075d61ceb2b802b,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R3C1_g2.png,31,33,R2C1,R3C2,R4C1,R3C0,0,0,0,0
17,R3C2,3,2,runtime/tiles/R3C2_g2.png,483926,8a21793aa7be1c186555b0f55073a83377c8d260fa589581352c942c9958db20,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R3C2_g2.png,32,33,R2C2,R3C3,R4C2,R3C1,0,0,0,0
18,R3C3,3,3,runtime/tiles/R3C3_g2.png,503228,a094fc2d80dde0e1b466895f4c51f54c4dba1b10638e0b9db7e6a631e744e224,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R3C3_g2.png,33,33,R2C3,R3C4,R4C3,R3C2,0,0,0,0
19,R3C4,3,4,runtime/tiles/R3C4_g2.png,510740,19eb16d285205130809e8f28298a0ddee2d0dec377567203f0d69f1c60dde9cf,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R3C4_g2.png,34,33,R2C4,,R4C4,R3C3,0,2,0,0
20,R4C0,4,0,runtime/tiles/R4C0_g2.png,440713,04ff1868df55e3197b79a030df09ecc177ab8f43cb92826832f5f092ee7d7f66,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R4C0_g2.png,30,34,R3C0,R4C1,,,0,0,2,2
21,R4C1,4,1,runtime/tiles/R4C1_g2.png,433345,b279914641cd148429c4d139ec6a72260276aef5c7b7e0822bb38f3376bd09a2,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R4C1_g2.png,31,34,R3C1,R4C2,,R4C0,0,0,2,0
22,R4C2,4,2,runtime/tiles/R4C2_g2.png,442446,ecce85f9395e52e429c9ad57844c29817b9717a1eaecfc05f824aca73bee4d16,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R4C2_g2.png,32,34,R3C2,R4C3,,R4C1,0,0,2,0
23,R4C3,4,3,runtime/tiles/R4C3_g2.png,417403,869a1075a05ee3bc3e9e95a74db94267b4cb38f450c82f31b9afde4455fe52c7,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R4C3_g2.png,33,34,R3C3,R4C4,,R4C2,0,0,2,0
24,R4C4,4,4,runtime/tiles/R4C4_g2.png,404430,75ec84379a4544d5b8f8914bff0b4abc30f46bcb26142a20d31738462f84427b,Assets/BeeKingdom/Playground/Resources/WorldMapWave3Runtime/UIB_ContinuousMaster5x5_v1/R4C4_g2.png,34,34,R3C4,,,R4C3,0,2,2,0
